,Value of $\hat{m}$,n,pred_error
0,3,10,775868898.3548181
1,2,10,20622123.646904573
2,3,10,5923141433.007715
3,3,10,2069458827.605269
4,3,10,2566205310.7014203
5,4,10,8388118176.000598
6,3,10,2828565245.2679853
7,4,10,21122579063.75968
8,1,10,56209100.17182418
9,4,10,37900821917.296974
10,3,10,248460018.14915967
11,3,10,373121109.6402763
12,4,10,210550779322.5108
13,4,10,1995505942.5111878
14,4,10,154203008093.45312
15,3,10,1845465555.775299
16,4,10,188784281690.0277
17,3,10,10621449280.107048
18,4,10,1366514042560.3887
19,4,10,13779261668.428995
20,3,10,1336947284.9937553
21,3,10,718419509.9740129
22,3,10,2655925518.0221343
23,3,10,2854055673.515646
24,4,10,21287493529.55914
25,2,10,4480646.312608322
26,3,10,4849748916.768745
27,3,10,6666430525.101898
28,3,10,656484307.2086039
29,4,10,5015810984.457674
30,4,10,5728217935.977927
31,3,10,682416719.3226957
32,3,10,1186708202.6781614
33,3,10,3512512453.8038735
34,2,10,26557044.70194575
35,3,10,532263523.75220776
36,3,10,638696712.1076713
37,3,10,391349835.2527427
38,4,10,16335700072.464954
39,2,10,13309137.397964338
40,4,10,33517106088.209625
41,4,10,695944760314.5464
42,4,10,17487525623.956387
43,4,10,220816141657.11603
44,2,10,3119827.048162139
45,4,10,164597987407.73953
46,3,10,5906128812.714014
47,3,10,258630853.74196666
48,3,10,1256403878.9775777
49,4,10,6036682512.801945
50,4,10,475790184822.8758
51,4,10,47663166441.25027
52,3,10,3557898111.8772125
53,3,10,1027107190.4582262
54,3,10,2666857591.5171757
55,2,10,3118738.2353423657
56,3,10,304368845.6750274
57,5,10,173028989971230.8
58,5,10,161422766271.35895
59,4,10,24640908664.955017
60,3,10,3046872864.5280485
61,3,10,392930170.6862206
62,3,10,441913995.3093976
63,4,10,604041036.229427
64,4,10,1835057269.7000332
65,4,10,8788657863.024715
66,3,10,842449432.4952672
67,4,10,73644186073.67827
68,4,10,23513266132.358162
69,1,10,373615996.88453287
70,4,10,26953601071.866962
71,4,10,3835021856.833866
72,3,10,915791481.4187609
73,3,10,1372911554.4617426
74,4,10,51223426576.16409
75,3,10,433265086.24994975
76,3,10,61554463.548783384
77,4,10,327588171979.9491
78,3,10,301563727.3384778
79,4,10,143671710061.3424
80,4,10,22292407164.078594
81,3,10,1089137093.2728739
82,3,10,737015311.0914457
83,4,10,77983644021.65306
84,4,10,460684035726.2357
85,4,10,37528588761.08989
86,1,10,41224609.57189309
87,5,10,3469160618965.7617
88,3,10,1753032285.1185298
89,3,10,719774437.8137016
90,3,10,10410956210.268269
91,3,10,4481078176.791891
92,4,10,22357600521.851055
93,4,10,4199577168.272461
94,4,10,17437029242.220253
95,4,10,913007702191.679
96,4,10,11385813816.60912
97,3,10,607370148.3211246
98,3,10,5014466922.6588545
99,3,10,237469410.06818834
100,6,50,349171705551648.25
101,5,50,1313206342560.2625
102,4,50,72086142765.26154
103,5,50,1573472086052.5159
104,4,50,83332063087.12886
105,4,50,14245144081.550447
106,6,50,63949851316818.88
107,5,50,365485961204.8792
108,4,50,27542307263.886627
109,4,50,151090599440.0665
110,4,50,50591745717.5367
111,4,50,9750511746.130924
112,5,50,292544776642.55444
113,4,50,34428536482.013016
114,4,50,28635322576.831253
115,3,50,1454590945.5587127
116,6,50,359763928646040.2
117,4,50,38843784708.27876
118,5,50,16936491621.42444
119,4,50,32530616962.322037
120,6,50,95086529391732.08
121,4,50,37742068922.5701
122,6,50,1121261862698275.5
123,4,50,99642024980.77144
124,4,50,7198412407.6571045
125,3,50,1941100568.7332778
126,5,50,506730195267.7661
127,4,50,99795198803.31508
128,4,50,39780496533.198074
129,5,50,3565427294446.683
130,5,50,159998281439.88354
131,5,50,318569500611.5794
